Name,Deliberative model (categorised by OECD),Deliberative model (named by organisers),Ad hoc or Institutionalised?,"If institutionalised, is there a legal document establishing its functioning? (i.e. terms of reference)",Institutionalisation regulations URL,Project name,Project description,"Was there a dedicated committee/group set up in relation to the deliberative process? (i.e. expert group, advisory committee)",Advisory committee members,The  role of the advisory committee,Project URL,Year(s) of project,Country,OECD member?,Level of government,Place (Country/State/Region/City),Implementing organisation,Organisation URL,Organisation type,Issue category,Was the Jury/Assembly/Panel independent with mandate to set its rules of procedure?,Number of panels of the deliberative process,Total number of participants,Participant selection method,Participant selection methodology details,What was the method for participant selection?,Who was the invitation to participate from?,Response rate to invitation,Duration of participant selection process (in weeks),Duration of preparation/planning/agenda setting phase before 1st participant meeting (in weeks),Remuneration of participants,Which stakeholders were involved in the process design?,What did the stakeholders bring to the table?,"Was a dedicated online platform/tool used to keep participants up to date, informed and connected during the process?",Name of the platform for participant communication,How has process been communicated?,Elected officials part of the panel,"If yes, how many elected officials?",Total duration of face-to-face/hybrid/online meetings (in days),Total duration between 1st participant meeting date and last meeting date (in weeks),Was there an initial survey to measure the beliefs of participants?,Learning component of the process,"Was there a connection to other forms of engagement? If so, what were they?",Please provide further details on other forms of engagement,Outcome,Outcome (file number),Were final recommendations discussed face-to-face with the public authority?,Response and followup,Was there a change in administration during the period when deliberative process took place?,Implementation is being monitored,"If yes, how is implementation being monitored?",Has the process been evaluated?," If yes, how?",Evaluation link if applicable,Challenges encountered,Lessons learned,Total cost (not mandatory to fill in),Currency,Funding source(s),Online/hybrid,"Platform used if online, additionnal informations",latitude,longitude,Anything else?,Attachments 2,Included in the report
Grandview-Woodland Citizens' Assembly,Citizens' Assembly,Citizens' Assembly,Ad hoc,,,Grandview-Woodland Citizens' Assembly,"To inform the development of a new 30-year Community Plan for Grandview-Woodland, a Vancouver neighborhood","Yes, an Advisory Committee","Academics,Expert practitioners","Oversight,Providing expert knowledge",https://www.grandview-woodland.ca/,2015,Canada,Yes,Local Government,Vancouver,MASS LBP,https://www.masslbp.com/,Private sector,Urban planning,,1,43,Two-stage random selection (e.g. civic lottery),"19,000 randomly selected citizens invited, mote than 500 volunteered","Post,Leaflets",,,3,More than 14 weeks,Transport compensation,,Proposals and ideas for Citizens' Assembly to consider,,,,No,,11,36,,"Introductory reading material before 1st meeting,Reading material between meetings,Experts available at meetings for presentations and/or questions","Roundtable discussions,Community workshops","Several hundred local residents contributed
to city-led workshops and the Assembly’s public roundtable meetings. ",Defined 11 values of the community and produced a range of recommendations in 16 categories,1 Canada,checked,,,,,,,,,"Assembly held three public roundtable meetings, to
discuss their proposed values and other important issues, with
local residents. These public meetings, which provided a critical link connecting
the Assembly with the community it worked to represent.",275000,CAD,Budget of Vancouver City,Face-to-face,,49.2608724,-123.113952,,,checked
Calgary Commission on Municipal Infrastructure,Citizens' Dialogues,Citizens' Jury,Ad hoc,,,Calgary Commission on Municipal Infrastructure,To review and propose revisions to the City's fiscal model,No,,,https://www.calgarychamber.com/resources/blog/why-a-citizens-commission/,2015,Canada,Yes,Local Government,Calgary,MASS LBP,https://www.masslbp.com/,Private sector,Infrastructure,,1,36,Two-stage random selection (e.g. civic lottery),"10,000 randomly selected invited to participate, from those 250 who agreed 36 randomly selected",Post,,,,,Non-remunerated,,Presentations to the panel,,,,No,,6,9,,"Learning sessions,Experts available at meetings for presentations and/or questions",,,"Produced a set of recommendation that propose a mix of revenue tools for The City of Calgary, and puts forward a balanced vision for how Calgary could successfully address its infrastructure challenge. ",not available,,,,,,,,,,,,,,Face-to-face,,51.04493912,-114.0666213,,,checked
The development of the town of Planegg,Planning Cell,Planning Cell,Ad hoc,,,The development of the town of Planegg,To develop a vision of Planegg,,,,https://www.planegg.de/Buerger-planen-Planegg.o6500.html,2015,Germany,Yes,Local Government,Planegg,Nexus Institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,2,55,Two-stage random selection (e.g. civic lottery),,,,,,,,,,,,,No,,4,,,Learning sessions,,,,4 Germany (in german),,,,,,,,,,,,,Budget of the parish of Planegg,Face-to-face,,48.103742,11.4220029,,,checked
Noosa Community Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Noosa Community Jury,To provide recommendations on how the Noosa River can be managed better,"Yes, Academic Oversight Representatives",Academics,"Providing expert knowledge,Oversight",https://www.newdemocracy.com.au/2014/10/01/noosa-community-jury/,2015,Australia,Yes,Local Government,Noosa,newDemocracy Foundation,https://www.democracyco.com.au/,Non-Governmental Organisation,Other,,1,24,Two-stage random selection (e.g. civic lottery),"3,000 randomly selected citizens contacted. From those who register their interest, 24 randomly invited to participate","Post,Email","Minister,Local Councillor(s)",,,,Remunerated,,,,,Use of local media,No,,5,16,,,,,"The Jury considered the proposition that Council should take over the authority and finances from the State
Government for managing the moorings, anchoring, living on board and commercial use of the river on the basis that
it would be a user pays system funded through alternative means to rates.
The Jury did not reach a consensus on this prop",18 Australia,checked,"Public response to recommendations,Implementation of most recommendations (over 50%)",,checked,The council of Noosa regularly provides updates on the implementation of recommendations,,,,,,43000,AUD,Budget of the Council of Noosa,Face-to-face,,-26.3181415,152.9314093,,,checked
National Citizens' Council for asylum and refugees in Vorarlberg,Citizens' Council,Citizens' Council,Ad hoc,,,National Citizens' Council for asylum and refugees in Vorarlberg,To derive suggestions for a forward-looking asylum and refugee policy,,,,https://www.partizipation.at/br_asyl.html,2015,Austria,Yes,Regional/State,Vorarlberg,The Büro für Zukunftsfragen (Office for Future-Related Issues),https://vorarlberg.at/web/land-vorarlberg/zukunft,Government,Other,,1,23,Single stage random selection (e.g. polling company recruitment),"Invitations sent to 640 random citizens. Around 100 of them were interested in participating. 50 of those at the end did not sign up. 28 finally signed up, of those 23 turned up at the event.",,,4.00%,6,,,,,,,,No,,2,0,,"Reading material between meetings,Experts available at meetings for presentations and/or questions",Citizens' cafés,"Citizens cafe's where the results of he citizens Councils were presented to the society and discusses publicly. Stakeholders discussion, where those who work with the subject of refugees were introduced to citizens recommendations",Developed main principles and proposed measures to help integrate refugees in the society.,1 Austria (in German),,Implementation of most recommendations (over 50%),,,,checked,Participant exit survey,Available within the report,,,,,Budget of Vorarlberg,Face-to-face,,47.24968621,9.91635291,The recommended measures were further developed by the Province of Vorarlberg and its partners and have already been implemented to a large extent.,,checked
Citizens' Council on the of the Regional Agenda in the LEADER region National Park,Citizens' Council,Citizens' Council,Ad hoc,,,Citizens' Council on the of the Regional Agenda in the LEADER region National Park,To work together to come up with solutions and suggestions for improvement on municipal issues related to the National Park,,,,https://www.partizipation.at/neustift0.html,2015,Austria,Yes,Local Government,"Upper Austria, Maria Neustift and Hinterstoder",Regional Management OÖ GmbH (RMOÖ) - (the regional development agency of the Federal State of Upper Austria),https://www.rmooe.at/,Government,Strategic planning,,2,30,Random selection (stages unclear),,,,,7,,,,,,,,No,,2,0,,,,,"Developed recommendations on the areas of nature and environmental protection, regional cycles and value creation, national park and mobility, and tourism, business and jobs in the field of conflict with the demands of a national park.",not available,,,,,,,,,,,,,"Budget of the  Office of the Upper Austrian Provincial Government, Zukunftsakademie",Face-to-face,,,,,,checked
Citizens’ Jury: Reducing the numbers of Unwanted Dogs and Cats,Citizens' Jury,Citizens' Jury,Ad hoc,,,Citizens’ Jury: Reducing the numbers of Unwanted Dogs and Cats,"To respond to the question of what further measures can we introduce or trial to
reduce the number of unwanted pets?","Yes, Core Reference Group","NGO's,Government representatives","Oversight,Ensuring balanced information",https://yoursay.sa.gov.au/decisions/citizens-jury-dog-and-cat-management/outcome,2015,Australia,Yes,Regional/State,South Australia,DemocracyCo,https://www.democracyco.com.au/,Private sector,Legislative reform,,1,35,Two-stage random selection (e.g. civic lottery),"Recruitment was undertaken via Vote Compass. Invitations to participate in the Citizens’ Jury were extended to a randomly selected sample of over 4,000 citizens. Citizens were invited to register electronically to indicate that they are available for the final selection. ",Email,Minister,4.00%,,12-14 weeks,Expenses covered,"Civil Society Organisations,Government Officials",Support to assist in the identification of potential witnesses for the Jury. Assistance with small elements of process design. ,checked,Basecamp,Regional & Statewide media,No,,5,8,,"Experts available at meetings for presentations and/or questions,Reading material between meetings,Participants can request information",Public consultations (online/offline),Online consultation,"The Jury recommended changes to the management of dogs and cats in South Australia in the areas of preventing abandonement, reducing supply and reconnecting cats and dogs with owners..
These recommendations have now become legalised in South Australia with a range of Dog & Cat Management laws now fully implemented. ",33 Australia,,"Public response to recommendations,Implementation of all recommendations",,,,,,,"Setting the remit took multiple weeks - as government wanted to run the Jury around a solution (not the problem/s they were experiencing). Once the problem statement was clear, a clear remit was defined allowing the Jury to recommend a range of workable solutions - which have now all been implemented. ",It is NEVER wasted time spent on clarifying the problem / remit. ,,,Budget of the South Australian Dog and Cat Management Board,Face-to-face,,-30.53597746,135.6285102,The recommendations from the Citizens Jury have now all been legislated and regulated.,Jury report designed.pdf (https://dl.airtable.com/.attachments/a43d38fe0cd50cc8345ccf076377b485/642c9564/Juryreportdesigned.pdf),checked
FY 2015: Discussion about the first revision of the fourth Mitaka City basic plan,Planning Cell,Citizen Deliberation Meeting,Ad hoc,,,FY 2015: Discussion about the first revision of the fourth Mitaka City basic plan,,"Yes, the organizing committee","Government representatives,Academics,NGO's,Business",,,2015,Japan,Yes,Local Government,Mitaka City in Tokyo metropolis,,,,Public spending,,1,81,Single stage random selection (e.g. polling company recruitment),"Mitaka City randomly sampled 1,800 people over the age of 18 from the residential register.
103 citizens accepted offers.
",,,6.00%,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,Mitaka City budget,Face-to-face,,,,,,checked
Deliberative poll on Urban Governance in Shanghai,Deliberative poll,,Ad hoc,,,Deliberative poll on Urban Governance in Shanghai,To select projects that receive “Neighborhood Committee Self-governance Fund”,,,,https://cdd.stanford.edu/2015/deliberative-polling-on-urban-governance-in-shanghai/,2015,China,No,Local Government,"Puxing Sub-district in Pudong New District, Shanghai",Puxing Deliberative Polling,,Government,Public spending,,1,109,Two-stage random selection (e.g. civic lottery),"First, 400 households were randomly selected from a total of 69,000 from the Puxing household registration roster. Second, a family member who was 18 years old or above was again randomly selected within each household. In total, 360 residents were selected. 109 attended the deliberation day.",,,,,,Non-remunerated,,,,,Local and national media,No,,1,0,checked,Introductory reading material before 1st meeting,Public consultations (online/offline),Citizen consultations,"Projects prioritized by participants. Compared to their
initial judgments, people’s opinions regarding the twenty-four projects demonstrated
significant changes, with the largest changes reaching 2 points out of 10. ",1 China,,Implementation of all recommendations,,,,checked,Participant exit survey, ,,,,,"The project was co-financed by Puxing subdistrict and a research fund at the Center for Comparative Urban Governance (CCUG) at Fudan University, China",Face-to-face,,,,In partnership with James S. Fishkin and Center for Deliberative Democracy,,checked
St. Joseph's Health Centre Community Reference Panel,Citizens' Jury,Reference panel,Ad hoc,,,St. Joseph's Health Centre Community Reference Panel,To create a series of recommendations and priorities to help inform the health center's strategic plan,No,,,,2015,Canada,Yes,Local Government,Toronto,MASS LBP,https://www.masslbp.com/,Private sector,Health,,1,36,Two-stage random selection (e.g. civic lottery),"10000 randomly selected invited to participate, 200 agreed, from them 36 randomly selected",Post,,,,,Non-remunerated,,,,,,No,,3,8,,Experts available at meetings for presentations and/or questions,Q&A with participants,"Community
Roundtable Meeting. This evening session
allowed members of the community
to participate in the planning process
and meet the members of the community
panel.","Created a set of values and priorities for the hospital, a series of recommendations and priorities to help inform the health centre’s strategic plan.",9 Canada,,,,,,,,,,,,,,Face-to-face,,43.65114342,-79.38627298,,,checked
Penrith City Community Panel,Citizens' Jury,Community Panel,Ad hoc,,,Penrith City Community Panel,Community panel created to provide Council with a set of recommendations on what services and infrastructure are needed in Penrith and to what level of quality; and how these services and infrastructure should be paid for. ,No,,,https://www.newdemocracy.com.au/2015/08/24/penrith-city-community-panel/,2015,Australia,Yes,Local Government,Penrith City,newDemocracy Foundation,https://www.newdemocracy.com.au/,Non-Governmental Organisation,Infrastructure,,1,34,Two-stage random selection (e.g. civic lottery),"5,000 citizens of Penrith City sent an invitation, from those willing to participate another random draw was made ","Email,Phone,Post",Mayor,,,7-8 weeks,Remunerated,,Proposals and ideas for Community Panel to consider,checked,,Use of local media,No,,6,9,checked,"Introductory reading material before 1st meeting,Reading material between meetings","Advisory Committees,Online discussion forums,Surveys (online/offline),Stakeholder interviews","The jury was complemented by any traditional engagement techniques (surveys,
websites, forums, interviews, Advisory Committees, etc.)","Produced a range of recommendations in the following areas: getting around the city, health and community spirit, Income and expenditure, jobs close to home, environment, planning for future growth, safe and vibrant places.",5 Australia,checked,Public response to recommendations,,,,,,,,,129500,AUD,Budget of Penrith City,Face-to-face,,-33.7510792,150.6941684,,,checked
Halton Region Citizens' Reference Panel on Strategic Priorities,Citizens' Jury,Reference panel,Ad hoc,,,Halton Region Citizens' Reference Panel on Strategic Priorities,To review the Region's work and additional directions for the 2015-2019 Strategic Action Plan,No,,,,2015,Canada,Yes,Regional/State,Halton,MASS LBP,https://www.masslbp.com/,Private sector,Strategic planning,,1,36,Two-stage random selection (e.g. civic lottery),"10,000 randomly mailed, 530 responded, o those randomly selected 36",,,3.00%,8,,Non-remunerated,,,,,,No,,3,,,,Surveys (Roundtable discussionsonline/offline),Public roundtable meeting that included more than 100 local residents.,109 recommendations produced in various areas (from climate change to governing the future),3 Canada,,,,,,,,,,,,,,Face-to-face,,43.48224971,-79.66818211,,,checked
Citizen workshop on future research areas in Denmark,Citizens' Dialogues,Citizens' Workshop,Ad hoc,,,Citizen workshop on future research areas in Denmark,To determine what are the most important future research areas in Denmark,,,,http://www.tekno.dk/project/citizen-input-on-future-research-areas-in-denmark/?lang=en,2015,Denmark,Yes,National/Federal,Denmark,The Danish Board of Technology Foundation,http://www.tekno.dk/?lang=en,Non-Governmental Organisation,Other,,1,18,Random selection (stages unclear),,,,,6,,Non-remunerated,,,,,,No,,1,0,,,,,"Provided input on 19 research suggestions, such as: the intelligent and green transportation of the future,
Global and local health threats,
Digital solutions and big data
Children, young people and the future education.",not available,,,,,,checked,Participant exit survey,,,,,,Budget of the Danish Agency for Science and Higher Education,Face-to-face,,55.66810999,10.33118929,,,checked
Citizens' Reference Panel on the Mental Health Action Plan for Canada,Citizens' Jury,Reference panel,Ad hoc,,,Citizens' Reference Panel on the Mental Health Action Plan for Canada,Recommending actions for inclusion in the NHAP,No,,,,2015,Canada,Yes,National/Federal,Canada,MASS LBP,https://www.masslbp.com/,Private sector,Health,,1,36,Two-stage random selection (e.g. civic lottery),"10,000 randomly selected invited to participate, 515 volunteered, from those 36 randomly selected",Post,,,,,Non-remunerated,,,,,,No,,5,0,,"Learning sessions,Experts available at meetings for presentations and/or questions",,,"Produced 109 recommendations - a complete scope of work necessary
to create a coherent and comprehensive mental health care
system in Canada",17 Canada,,,,,,,,,,,204000,CAD,Mental Health Commission of Canada,Face-to-face,,61.0666922,-107.991707,,,checked
Noosa Community Jury,Citizens' Jury,Citizens' Jury,Ad hoc,,,Noosa Community Jury,To consider trade-offs involved of environment benefit vs cost to citizens of reducing organic waste sent to landfill,"Yes, Academic Oversight Representatives",Academics,"Providing expert knowledge,Oversight",https://www.newdemocracy.com.au/2014/10/01/noosa-community-jury/,2015,Australia,Yes,Local Government,Noosa,newDemocracy Foundation,https://www.democracyco.com.au/,Non-Governmental Organisation,Environment,,1,24,Two-stage random selection (e.g. civic lottery),"3,000 randomly selected citizens contacted. From those who register their interest, 24 randomly invited to participate","Post,Email","Minister,Local Councillor(s)",,,,Remunerated,,,,,Use of local media,No,,4,20,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions,Participants can request information",Call for submissions/proposals,Over 30 citizen submissions received,Produced 9 recommendations,16 Australia,checked,"Public response to recommendations,Implementation of all recommendations",,checked,The council of Noosa regularly provides updates on the implementation of recommendations,,,,,,43000,AUD,Budget of the Council of Noosa,Face-to-face,,-26.31517478,152.934376,A series of workshops launched by the Council after the recommendations have been reviewed to discuss costs and timing of implementation,,checked
"Citizens' Council ""Being a woman in Vienna""",Citizens' Council,Citizens' Council,Ad hoc,,,"Citizens' Council ""Being a woman in Vienna""",To find an answer to the following question: How can we work even better towards equality between women and men in Vienna? ,,,,https://www.partizipation.at/frauinw.html,2015,Austria,Yes,Local Government,"Vienna, Austria",Austrian Society for Environment and Technology (ÖGUT),https://www.oegut.at/en/,Government,Gender equality,,1,15,A mix of random and targeted selection,"1500 random women invited to participate, 20 were willing",,,,,,,,,,,,No,,2,0,,,Public hearings,Public presentation of the results at the City Hall,"Produced recommendations in relation to safety and mobility, solidarity among women, barriers in the labor market",11 Austria (in german),,,,,,,,,,,,,The Women's Department of the City of Vienna,Face-to-face,,48.23224165,14.89962758,,,checked
WWViews on Climate and Energy,WWViews,WWViews,Ad hoc,,, WWViews on Climate and Energy,"To gather citizen views on international climate
change and energy policy issues and disseminate them to policymakers involved in the UNFCCC
negotiations.",,,,http://climateandenergy.wwviews.org/,2015,EU,Yes,International,,"Co-initiated by the United Nations Framework Convention on Climate Change (UNFCCC) secretariat, the Danish Board of Technology Foundation (DBT), Missions Publiques (MP), and the French National Commission for Public Debate (CNDP), with the support of the French Government host of COP21.",,"Government,International Organisation,Non-Governmental Organisation",Environment,,76,10000,A mix of random and targeted selection,"With regards to WWViews, the process has been the following for the National partners:
1.	Find national statistics for the distributions of their population by socio-demographic criteria: age, gender, occupation, education, geographical spread, membership of green NGO
2.	Make a recruitment strategy and discuss it with DBT (us). These strategies include:
a.	Sending out invitation to randomly selected addresses and choosing participants from a pool of applicants
b.	Hiring marketing bureau to find 100 participants that fit with the criteria
c.	Sending invitations through different community based organisations with national outreach (e.g in some African countries)
d.	Asking group moderators to find X number of profiles (e.g in Indonesia)
e.	Snowballing method
f.	And more
",,,,,,,,,,,,,,1,0,,Reading material between meetings,,,Series of votes,2 EU,,,,,,,,,,,,,"Some partners were self-financed but several partners, especially from developing countries benefited greatly from the financial support of Ségolène Royal, the French Minister of Ecology, Sustainable Development and Energy, which providing financial support to 61 countries.",Face-to-face,,46.30981237,11.04336577,,,checked
Climacteurs - 100 voix pour le Climat,Citizens' Dialogues,Deliberative event,Ad hoc,,,Climacteurs - 100 voix pour le Climat,To produce recommendations for the Minister to share at the COP21 ,No ,,,https://celinefremault.be/fr/climacteurs-100-voix-pour-le-climat,2015,Belgium,Yes,Local Government,Brussels ,Particitiz,www.particitiz.org,Non-Governmental Organisation,Environment,,1,100,Two-stage random selection (e.g. civic lottery),8000 Brussels Citizens,Post,Minister,,8,7-8 weeks,Non-remunerated,"Academics,Government Officials",Knowledge,,,,No,,1,0,,,,,,,,,,,,,,,,,,,,Face-to-face,,50.84463672,4.34977642,,,checked
Deliberative poll “Tomorrow’s City”,Deliberative poll,,Ad hoc,,,Deliberative poll “Tomorrow’s City”,To deliberate about major infrastructure projects proposed in the city’s master plan,"Yes, advisory committee","Government representatives,NGO's,Business",Oversight,https://cdd.stanford.edu/2015/deliberative-polling-in-mongolia/,2015,Mongolia,No,Local Government,Ulaanbaatar,Office of the Capital city governor,www.ulaanbaatar.mn,Government,Infrastructure,,1,317,Two-stage random selection (e.g. civic lottery),"1500 households randomly selected and from those 1500 survey respondents randomly selected from household members over 18. Those participated in pre-polling survey. As a second step, 400 respondents randomly selected out of 1500 and invited to deliberation.",Phone,Mayor,,,,,,,,,National and international media,No,,2,0,checked,Experts available at meetings for presentations and/or questions,,,"14 infrastructure projects discussed and ranked according to priority. The people’s priorities changed during the Deliberative Poll. Eight of the fourteen
projects changed significantly. Three went up, five went down.",2 Mongolia,,,,,,checked,Participant exit survey,page 4 of outcome document,,,,,Australian Aid,Face-to-face,,47.9184676,106.9177016,In partnership with James S. Fishkin and Center for Deliberative Democracy,,checked
Metrolinx Residents' Reference Panel on the Davenport Community Rail Overpass,Citizens' Jury,Reference panel,Ad hoc,,,Metrolinx Residents' Reference Panel on the Davenport Community Rail Overpass,To help inform the design process of a rail overpass in the Toronto community of Davenport,No,,,http://www.metrolinx.com/en/aboutus/inthecommunity/davenportpanel/default.aspx,2015,Canada,Yes,Local Government,Toronto,MASS LBP,https://www.masslbp.com/,Private sector,Infrastructure,,1,36,Two-stage random selection (e.g. civic lottery),"10,000 randomly selected invited to participate, from those who agreed, 36 randomly selected",Post,,,,,Non-remunerated,,,,,,No,,5,4,,Introductory reading material before 1st meeting,,,89 recommendations produced,14 Canada,,,,,,,,,,,,,,Face-to-face,,43.64963021,-79.38778619,,,checked
Victoria's Citizens' Jury on Obesity,Citizens' Jury,Citizens' Jury,Ad hoc,,,Victoria's Citizens' Jury on Obesity,To discuss how can we make it easier to eat better?,"Yes, a steering Group","Government representatives,Expert practitioners","Providing expert knowledge,Oversight",https://www.newdemocracy.com.au/2015/09/25/vichealth-victoria-s-citizens-jury-on-obesity-2015/,2015,Australia,Yes,Regional/State,Victoria,newDemocracy Foundation,https://www.democracyco.com.au/,Non-Governmental Organisation,Health,,1,78,Two-stage random selection (e.g. civic lottery),"Invitations were distributed electronically to approximately
20,000 addresses, drawn from samples of:
• the VoteCompass database (at least 570,000 of
1.2 million participants opted in to participate in events
related to public policy)
• two student databases (to maximise reach to the
18–24-year age group).",Email,,8.00%,,More than 14 weeks,Remunerated,,Presentations and materials for the Jury,checked,Zimbra,"Use of local media. Media partner took care of publicity. Media activities generated significant interest and discussion
on overweight and obesity across Victoria. The VicHealthHerald Sun Readers Poll held in October 2015 yielded 2580
responses – the highest response the newspaper has had to a
public survey. The jury generated 126 media mentions (58 plus
68 syndications), including print, online and radio.",No,,2,0,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",Call for submissions/proposals,Open public submission.,Produced 20 recommendations on how to address problems of overweight and obesity,23 Australia,,Public response to recommendations,,,,,,,,,,,Budget of VicHealth,Face-to-face,,-36.5986096,144.6780052,,,checked
Citizens' council on center development in Egg (Vorarlberg),Citizens' Council,Citizens' council,Ad hoc,,,Citizens' council on center development in Egg (Vorarlberg),"""How can we create an attractive center for Egg?""",Resonanzgruppe (Advisory group),"Government representatives,Business,Citizens",,https://www.egg.at/fileadmin/dam/Egg-Gemeinde/z_DOWNLOADS/Politik/B%C3%BCrgerratsbericht_November_2016.pdf,2016,Austria,Yes,Local Government,Austria/Vorarlberg/Egg,Office for Voluntary Engagement and Participation ,https://vorarlberg.at/-/feb-aufgaben-und-leistungen,Government,Urban planning,,1,23,Single stage random selection (e.g. polling company recruitment),"Randomly selected citizens, in order to be representative of the population (stages unclear) (120 people)",Post,Mayor,38.00%,5,7-8 weeks,,Public Officials,,,,local media,No,,2,0,,Experts available at meetings for presentations and/or questions,Citizens' cafés,The results were publicly presented in the course of a citizens' café to the public,1)to calm traffic 2)to strenghten the community and increase vividness 3)to create an attractive center,,checked,Specific response to participants about recommendations,,,,checked,"Process reflection by the organisers,Participant feedback session",,,,,EUR,Vorarlberg lander budget/local budget 50/50,Face-to-face,,,,,https://www.buergerrat.net/,
Citizens' council on future chances for Vorarlberg´s youth,Citizens' Council,Citizens' council,Ad hoc,,,Citizens' council on future chances for Vorarlberg´s youth,"""What do Vorarlberger´s youth need in order to have chances for a good life?""",Resonanzgruppe (Advisory group),Government representatives,,https://presse.vorarlberg.at/land/dist/vlk-51745.html,2016,Austria,Yes,Regional/State,Austria/Vorarlberg,Office for Voluntary Engagement and Participation ,https://vorarlberg.at/-/feb-aufgaben-und-leistungen,Government,Other,,1,21,Single stage random selection (e.g. polling company recruitment),400 randomly selected citizens <26 and 200 randomly selected citizens >26.,Post,Premier,13.00%,5,7-8 weeks,,Public Officials,,,,national/local & statewide media,No,,2,0,,,Citizens' cafés,The results were publicly presented in the course of a citizens' café to the public,in order to increase future chances for the youth: 1)there is a need for strong bonds within the society 2)politics have to be carried out in a respectful way 3)there should be tolerance for the youth so that they gain sense of responsibility 4)free public spaces for youth 5)equal opportunities through education 6)professionel entry opportunities and further training options 6)a fair splitting of social benefits 7)affordable living for future generations,,checked,"Public response to recommendations,Implementation of some recommendations (% unknow)",,,,checked,"Process reflection by the organisers,Participant feedback session",,,,,EUR,Vorarlberg lander budget,Face-to-face,,46.86705832,10.11505428,,https://www.buergerrat.net/,
Citizens' council on the revision of Rankweil´s REK (Vorarlberg),Citizens' Council,Citizens' council,Ad hoc,,,Citizens' council on the revision of Rankweil´s REK (Vorarlberg),"""What development for the quality of life in Rankweil is useful for the long run? How should we shape this development? Do we want a centralised or a decentralised Rankweil?""",Resonanzgruppe (Advisory group),"Business,Government representatives,Citizens",,https://www.buergerrat.net/at/vorarlberg/kommunaler-buergerrat/buergerrat-rankweil-ueberarbeitung-des-raumentwicklungskonzepts/,2016,Austria,Yes,Local Government,Austria/Vorarlberg/Rankweil,Office for Voluntary Engagement and Participation ,https://vorarlberg.at/-/feb-aufgaben-und-leistungen,Government,Strategic planning,,1,15,Single stage random selection (e.g. polling company recruitment),"Randomly selected citizens, in order to be representative of the population ",Post,Mayor,,5,7-8 weeks,,"Public Officials,Private Companies",,,,Regional/local media,No,,2,0,,Experts available at meetings for presentations and/or questions,Citizens' cafés,The results were publicly presented in the course of a citizens' café to the public and politicians (around 70 participants),1)Rankweil as a place of encounter 2)regional shops reinforce the town´s center 3)food security through regional shops should minimize the use of cars in town 4)Rankweil is a very livable town - that should be the ground to build on ,,checked,"Implementation of most recommendations (over 50%),Specific response to participants about recommendations",,,,checked,"Process reflection by the organisers,Participant feedback session",,,,,EUR,Vorarlberg lander budget/local budget 50/50,Face-to-face,,47.26759776,9.640422531,,https://www.buergerrat.net/,
New ways for access to public transport in Berlin,Planning Cell,Planning Cell,Ad hoc,,,New ways for access to public transport in Berlin,To provide guidelines for the future of electronic access systems for public transport in Berlin.,,,,http://pzdb.jazzpis.space/cells/1,2016,Germany,Yes,Regional/State,Berlin,Nexus institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,1,23,Two-stage random selection (e.g. civic lottery),,,,16.00%,,,,,,,,,No,,2,,,,,,,23 Germany (in german),,,,,,,,,,,,,Budget of the  Federal Ministry of Education and Research,Face-to-face,,52.51323382,13.38505722,,,checked
The development of the district at the Tempelhofer Damm,Planning Cell,Planning Cell,Ad hoc,,,The development of the district at the Tempelhofer Damm,"To discuss possible different uses of the district at Tempelhofer Damm, the design of the neighborhood and the integration of the district into the urban environment",,,,http://pzdb.jazzpis.space/cells/10,2016,Germany,Yes,Regional/State,Berlin,Nexus institute,https://www.nexusinstitut.de/,Private sector,Urban planning,,3,69,Two-stage random selection (e.g. civic lottery),,,,16.00%,,,,,,,,,No,,2,,,,,,,24 Germany (in german),,,,,,,,,,,,,Funded by the Senate Department for Urban Development and Environment,Face-to-face,,52.51559981,13.38742321,,,checked
Concertation citoyenne sur le dépistage du cancer du sein ,Consensus Conference,Consensus Conference,Ad hoc,,,Concertation citoyenne sur le dépistage du cancer du sein ,To answer the question how the process of screening for breast cancer can be improved. ,"Yes, a steering committee","Academics,Expert practitioners","Oversight,Providing expert knowledge",http://www.concertation-depistage.fr/ ,2016,France,Yes,National/Federal,France,MISSIONS PUBLIQUES,www.missionspubliques.org,Private sector,Health,,1,27,Single stage random selection (e.g. polling company recruitment),"A panel of randomly selected citizens and a panel of appointed experts of the field. Women were randomly selected and stratified according to age, socio-economic situation, location). Polling company recruitment stratified on criteria agreed with commissioning authority (usually age, income, region & department)",,,,,,Non-remunerated,,,,,,No,,4,6,,"Introductory reading material before 1st meeting,Experts available at meetings for presentations and/or questions",Public consultations (online/offline),An online consultation,Produced a list of expectations for the breast cancer screening program,3 France (in french),,,,,,,,,,,,,Budget of the ministry of Health and the National Cancer Institute,Face-to-face,,46.603354,1.8883335,,,checked
